symbol,date,price
multichannel,Jan 2014,0.17
multichannel,Feb 2014,0.17
multichannel,Mar 2014,0.165
multichannel,Apr 2014,0.323
multichannel,May 2014,0.19
multichannel,Jun 2014,0.154
multichannel,Jul 2014,0.209
multichannel,Aug 2014,0.25
multichannel,Sep 2014,0.057
multichannel,Oct 2014,0.143
multichannel,Nov 2014,0.121
multichannel,Dec 2014,0.259
multichannel,Jan 2015,0.258
multichannel,Feb 2015,0.219
multichannel,Mar 2015,0.208
multichannel,Apr 2015,0.154
multichannel,May 2015,0.133
multichannel,Jun 2015,0.335
multichannel,Jul 2015,0.238
multichannel,Aug 2015,0.187
multichannel,Sep 2015,0.265
multichannel,Oct 2015,0.259
multichannel,Nov 2015,0.226
multichannel,Dec 2015,0.17
multichannel,Jan 2016,0.157
multichannel,Feb 2016,0.215
multichannel,Mar 2016,0.138
multichannel,Apr 2016,0.095
multichannel,May 2016,0.28
multichannel,Jun 2016,0.142
multichannel,Jul 2016,0.118
multichannel,Aug 2016,0.127
multichannel,Sep 2016,0.089
multichannel,Oct 2016,0.171
multichannel,Nov 2016,0.288
multichannel,Dec 2016,0.155
multichannel,Jan 2017,0.222
multichannel,Feb 2017,0.12
multichannel,Mar 2017,0.174
multichannel,Apr 2017,0.262
multichannel,May 2017,0.261
multichannel,Jun 2017,0.246
multichannel,Jul 2017,0.22
multichannel,Aug 2017,0.19
multichannel,Sep 2017,0.309
multichannel,Oct 2017,0.109
multichannel,Nov 2017,0.238
multichannel,Dec 2017,0.289
multichannel,Jan 2018,0.261
multichannel,Feb 2018,0.215
multichannel,Mar 2018,0.297
multichannel,Apr 2018,0.331
multichannel,May 2018,0.2
multichannel,Jun 2018,0.253
webwinkels,Jan 2014,0.038
webwinkels,Feb 2014,0.04
webwinkels,Mar 2014,0.091
webwinkels,Apr 2014,0.13
webwinkels,May 2014,0.059
webwinkels,Jun 2014,0.086
webwinkels,Jul 2014,0.027
webwinkels,Aug 2014,0.078
webwinkels,Sep 2014,0.042
webwinkels,Oct 2014,0.088
webwinkels,Nov 2014,0.118
webwinkels,Dec 2014,0.184
webwinkels,Jan 2015,0.132
webwinkels,Feb 2015,0.13
webwinkels,Mar 2015,0.181
webwinkels,Apr 2015,0.189
webwinkels,May 2015,0.127
webwinkels,Jun 2015,0.25
webwinkels,Jul 2015,0.255
webwinkels,Aug 2015,0.227
webwinkels,Sep 2015,0.297
webwinkels,Oct 2015,0.224
webwinkels,Nov 2015,0.292
webwinkels,Dec 2015,0.297
webwinkels,Jan 2016,0.295
webwinkels,Feb 2016,0.282
webwinkels,Mar 2016,0.28
webwinkels,Apr 2016,0.208
webwinkels,May 2016,0.27
webwinkels,Jun 2016,0.24
webwinkels,Jul 2016,0.187
webwinkels,Aug 2016,0.232
webwinkels,Sep 2016,0.151
webwinkels,Oct 2016,0.231
webwinkels,Nov 2016,0.253
webwinkels,Dec 2016,0.122
webwinkels,Jan 2017,0.154
webwinkels,Feb 2017,0.181
webwinkels,Mar 2017,0.127
webwinkels,Apr 2017,0.143
webwinkels,May 2017,0.235
webwinkels,Jun 2017,0.154
webwinkels,Jul 2017,0.207
webwinkels,Aug 2017,0.179
webwinkels,Sep 2017,0.199
webwinkels,Oct 2017,0.196
webwinkels,Nov 2017,0.222
webwinkels,Dec 2017,0.213
webwinkels,Jan 2018,0.223
webwinkels,Feb 2018,0.158
webwinkels,Mar 2018,0.197
webwinkels,Apr 2018,0.174
webwinkels,May 2018,0.107
webwinkels,Jun 2018,0.147
